ens_gene	Symbol	Uniq_syms	entrez	Gene_name	baseMean	log2FoldChange	lfcSE	pvalue	padj
ENSG00000164484.11	TMEM200A	TMEM200A	114801	transmembrane protein 200A	810.8346191355021	1.175616997784611	0.12478637624515332	1.16407030036436e-22	4.021164445578645e-20
ENSG00000131389.17	SLC6A6	SLC6A6	6533	solute carrier family 6 member 6	737.5758588003081	2.057163662901908	0.22440794026164831	6.424553801151574e-22	2.1757822206566664e-19
ENSG00000158246.8	TENT5B	TENT5B	115572	terminal nucleotidyltransferase 5B	68.10349757750355	-2.229864513914894	0.2431989283045399	1.1074510465768172e-21	3.6784412454759204e-19
ENSG00000134253.10	TRIM45	TRIM45	80263	tripartite motif containing 45	135.45865950618878	1.9066495290000989	0.21223280828385593	2.1021611712366127e-21	6.8506656131318445e-19
ENSG00000132356.11	PRKAA1	PRKAA1	5562	protein kinase AMP-activated catalytic subunit alpha 1	2375.3840160066475	-0.8482846522346866	0.09184744829047646	2.2733242595356508e-21	7.271269742722178e-19
ENSG00000250978.5	NA	ENSG00000250978.5	NA	NA	56.05175819835689	-5.863367965331021	0.7418821180847353	3.6344868867210065e-21	1.1401982892696578e-18
ENSG00000157514.16	TSC22D3	TSC22D3	1831	TSC22 domain family member 3	2169.251354571525	-3.165334957876949	0.34947176954363873	3.696798529359706e-21	1.1401982892696578e-18
ENSG00000113456.19	RAD1	RAD1	5810	RAD1 checkpoint DNA exonuclease	1059.1138739488576	-0.8532776641511064	0.09355727828731368	6.538551722966396e-21	1.981295883492554e-18
ENSG00000197043.14	ANXA6	ANXA6	309	annexin A6	13915.92066043215	-0.8966046429144577	0.09852552738318146	7.022445416734718e-21	2.091235814445553e-18
ENSG00000110756.18	HPS5	HPS5	11234	HPS5 biogenesis of lysosomal organelles complex 2 subunit 2	991.9273972980025	-1.5320962657508612	0.17447750477659307	1.0228516263950187e-20	2.994354795100807e-18
ENSG00000161647.18	MPP3	MPP3	4356	MAGUK p55 scaffold protein 3	164.01538255849638	-1.5225554387082634	0.17339118979383278	1.0448069398761902e-20	3.007650910923593e-18
ENSG00000157110.16	RBPMS	RBPMS	11030	RNA binding protein, mRNA processing factor	2886.5912824912357	-0.8668494110338977	0.09620631255386718	1.7299029627682517e-20	4.89817770048086e-18
ENSG00000106976.20	DNM1	DNM1	1759	dynamin 1	1047.658800629683	1.7044946756383297	0.1959698094507673	1.8699382736158973e-20	5.2092861067570605e-18
ENSG00000163110.15	PDLIM5	PDLIM5	10611	PDZ and LIM domain 5	1308.9011193275223	-1.5250514026174484	0.17512916659789834	1.984627971329223e-20	5.441030844571165e-18
ENSG00000103502.14	CDIPT	CDIPT	10423	CDP-diacylglycerol--inositol 3-phosphatidyltransferase	2777.887112100277	-0.800620997764685	0.08900752498720454	2.2850012507039133e-20	6.166647125337186e-18
ENSG00000157613.11	CREB3L1	CREB3L1	90993	cAMP responsive element binding protein 3 like 1	2750.9678980046438	0.9495850762759329	0.10638839760639035	2.913811327054376e-20	7.742669113982028e-18
ENSG00000124766.7	SOX4	SOX4	6659	SRY-box transcription factor 4	1254.2485862289245	2.2676027848907045	0.2580412888900321	3.756431182335059e-20	9.830466572922899e-18
ENSG00000132970.14	WASF3	WASF3	10810	WASP family member 3	677.9490593244345	-1.064241423203845	0.12055011866088484	4.5165990622867633e-20	1.164338791101746e-17
ENSG00000151726.14	ACSL1	ACSL1	2180	acyl-CoA synthetase long chain family member 1	1450.964008298834	-1.5427126724398632	0.17962906510193333	5.479333734409992e-20	1.3741054940623875e-17
ENSG00000154734.15	ADAMTS1	ADAMTS1	9510	ADAM metallopeptidase with thrombospondin type 1 motif 1	29982.20240485184	-2.2167064257307953	0.2539709824093851	5.489420975585036e-20	1.3741054940623875e-17
ENSG00000227051.6	C14orf132	C14orf132	56967	chromosome 14 open reading frame 132	4582.552056114135	1.1015525343385473	0.12538917975831332	5.647900805657076e-20	1.3935791816472716e-17
ENSG00000169738.8	DCXR	DCXR	51181	dicarbonyl and L-xylulose reductase	609.7704704976599	-2.072172705581394	0.23996262062582016	7.809691600574403e-20	1.899844976410156e-17
ENSG00000196975.16	ANXA4	ANXA4	307	annexin A4	4905.365870150551	-1.1497657062547255	0.13195708074483217	8.585444406755886e-20	2.0595527193539953e-17
ENSG00000146006.8	LRRTM2	LRRTM2	26045	leucine rich repeat transmembrane neuronal 2	46.72134337709972	3.8834568661207594	0.45624113201788913	9.513762518347318e-20	2.2509822769437654e-17
ENSG00000157214.14	STEAP2	STEAP2	261729	STEAP2 metalloreductase	2988.364794359365	-1.9167652236425692	0.22545802542566554	1.5228708640130954e-19	3.5544629139505655e-17
ENSG00000128311.14	TST	TST	7263	thiosulfate sulfurtransferase	312.0398809365598	-1.254751793167348	0.14631989787746763	1.754209694244618e-19	4.0398279785324055e-17
ENSG00000185432.12	TMT1A	TMT1A	25840	thiol methyltransferase 1A	3876.187765798303	-2.240294617646671	0.26053907250660124	1.7996650619713786e-19	4.089975651364428e-17
ENSG00000118689.15	FOXO3	FOXO3	2309	forkhead box O3	3717.048248472713	-1.2439421107882784	0.14534918523501722	2.1398280618539722e-19	4.799884452511923e-17
ENSG00000174306.21	ZHX3	ZHX3	23051	zinc fingers and homeoboxes 3	3206.5919497424657	-1.0987603766476286	0.12747137969818026	2.4478678290079577e-19	5.4204580952083905e-17
ENSG00000112837.17	TBX18	TBX18	9096	T-box transcription factor 18	2735.3314845319123	1.7293239659665598	0.20648481881325212	3.1207526352916425e-19	6.822992343893323e-17
ENSG00000173838.12	MARCHF10	MARCHF10	162333	membrane associated ring-CH-type finger 10	46.06456038445326	-3.6417048328958144	0.4313675750831421	3.201438387028133e-19	6.91190547759374e-17
ENSG00000072958.8	AP1M1	AP1M1	8907	adaptor related protein complex 1 subunit mu 1	2153.7796944923234	-1.05841547000085	0.12313883928888185	3.5928480603582244e-19	7.661194036852746e-17
ENSG00000146592.17	CREB5	CREB5	9586	cAMP responsive element binding protein 5	663.170717770785	1.9321177147556057	0.2327419053255938	8.677074743195386e-19	1.8141833504001145e-16
ENSG00000108830.10	RND2	RND2	8153	Rho family GTPase 2	204.58756289862126	2.246562968768264	0.26697575200405277	8.717995488837976e-19	1.8141833504001145e-16
ENSG00000177283.7	FZD8	FZD8	8325	frizzled class receptor 8	123.75153657131409	-2.4442005694523736	0.28926669695522383	9.93020450828285e-19	2.0418391936554926e-16
ENSG00000179593.16	ALOX15B	ALOX15B	247	arachidonate 15-lipoxygenase type B	66.64398166705627	-9.102815674251598	1.0818244490811089	1.1717016877454314e-18	2.3808978294987163e-16
ENSG00000067369.13	TP53BP1	TP53BP1	7158	tumor protein p53 binding protein 1	1635.5842295199045	0.7744525887007997	0.09071525885026623	1.3502621156472557e-18	2.7118287513324884e-16
ENSG00000221869.5	CEBPD	CEBPD	1052	CCAAT enhancer binding protein delta	1901.7804917853653	-1.434310484854201	0.1741802879826198	1.5135258492710712e-18	3.004783732024131e-16
ENSG00000137672.13	TRPC6	TRPC6	7225	transient receptor potential cation channel subfamily C member 6	652.9763992848127	-1.87999690587543	0.22965038720959854	1.974215713299679e-18	3.874847022740007e-16
ENSG00000181061.13	HIGD1A	HIGD1A	25994	HIG1 hypoxia inducible domain family member 1A	980.1010355734229	-1.2396545991987367	0.14986218650235447	2.502680326677238e-18	4.856887033974074e-16
ENSG00000112773.16	TENT5A	TENT5A	55603	terminal nucleotidyltransferase 5A	511.27583238780807	1.1415128332912383	0.13798111450469933	3.906114243668613e-18	7.496267246293809e-16
ENSG00000246430.7	LINC00968	LINC00968	100507632	long intergenic non-protein coding RNA 968	2222.9490475874113	-1.9608524187417367	0.243516454787579	7.361854361916665e-18	1.3972961377914795e-15
ENSG00000150907.10	FOXO1	FOXO1	2308	forkhead box O1	462.75666150570794	-2.243786854207919	0.2758162136736029	8.706721661826997e-18	1.6345923537290855e-15
ENSG00000143320.9	CRABP2	CRABP2	1382	cellular retinoic acid binding protein 2	1479.889999681215	1.6051056915923145	0.2021497309049253	1.1644112279244473e-17	2.1625495407216185e-15
ENSG00000128923.11	MINDY2	MINDY2	54629	MINDY lysine 48 deubiquitinase 2	1395.759937592626	-1.0014680081518996	0.12217910733265891	1.3226425069472127e-17	2.430285253190666e-15
ENSG00000103485.19	QPRT	QPRT	23475	quinolinate phosphoribosyltransferase	852.7950988447939	1.1570499074606084	0.1428772099957335	1.5473503175335655e-17	2.813245756256815e-15
ENSG00000103064.15	SLC7A6	SLC7A6	9057	solute carrier family 7 member 6	566.4288592575983	-1.4185511753200617	0.17827610165417546	1.5703141779973547e-17	2.825256925246907e-15
ENSG00000163513.19	TGFBR2	TGFBR2	7048	transforming growth factor beta receptor 2	13175.155811751474	-1.390363370419189	0.1757571572259992	2.530590641114557e-17	4.506016654982539e-15
ENSG00000162426.14	SLC45A1	SLC45A1	50651	solute carrier family 45 member 1	165.55848170340076	-1.2620931065330332	0.15871748977210032	3.1355339437723946e-17	5.5262185996772245e-15
ENSG00000169715.15	MT1E	MT1E	4493	metallothionein 1E	508.68465281243186	-2.065675444573135	0.26144535363862265	3.384910739671908e-17	5.905472555112445e-15
ENSG00000131871.15	SELENOS	SELENOS	55829	selenoprotein S	798.7442180410153	-0.6616551053840007	0.08145372620364401	4.1153765809663236e-17	7.108078430645034e-15
ENSG00000162704.16	ARPC5	ARPC5	10092	actin related protein 2/3 complex subunit 5	2583.042410233829	-0.8604057751012198	0.10612956506233315	4.283799187121989e-17	7.325720748511979e-15
ENSG00000134243.12	SORT1	SORT1	6272	sortilin 1	5483.181087186947	-2.1317209741108587	0.27211726644811074	7.000172501432581e-17	1.1853625435759172e-14
ENSG00000167549.18	CORO6	CORO6	84940	coronin 6	1943.338682018923	-2.254376546206941	0.2871517158606998	8.603727189388168e-17	1.4427531651952664e-14
ENSG00000187193.9	MT1X	MT1X	4501	metallothionein 1X	35.04334046428244	-3.0786814496402997	0.3943583688289542	1.6530217969370135e-16	2.7452877381438553e-14
ENSG00000183722.9	LHFPL6	LHFPL6	10186	LHFPL tetraspan subfamily member 6	2985.2763710426075	-0.6724148714674013	0.08460382330931852	1.7318210475423357e-16	2.848763155538212e-14
ENSG00000020577.14	SAMD4A	SAMD4A	23034	sterile alpha motif domain containing 4A	3080.744415128765	-1.1554138477873968	0.148289202629893	1.8349069046339474e-16	2.9898596280035415e-14
ENSG00000253368.4	TRNP1	TRNP1	388610	TMF1 regulated nuclear protein 1	1025.1435916088867	-1.8793581464746831	0.24681558430181283	1.91188830016017e-16	3.0861808149875194e-14
ENSG00000135862.6	LAMC1	LAMC1	3915	laminin subunit gamma 1	33705.068218147084	-0.7794506935662351	0.09837366454979365	2.1775954025151385e-16	3.469973299675321e-14
ENSG00000233117.4	NA	ENSG00000233117.4	NA	NA	90.02413987737468	-3.135372252124572	0.40401920612171593	2.1898279855523968e-16	3.469973299675321e-14
ENSG00000087448.11	KLHL42	KLHL42	57542	kelch like family member 42	905.5265571166271	-1.0173243893470931	0.12974187756242545	2.223312315513534e-16	3.491004573959069e-14
ENSG00000105516.11	DBP	DBP	1628	D-box binding PAR bZIP transcription factor	83.39385509367241	1.579647187353856	0.209453739561425	2.793989069940286e-16	4.3475476771178937e-14
ENSG00000099337.5	KCNK6	KCNK6	9424	potassium two pore domain channel subfamily K member 6	903.9311973405132	-2.731432734244037	0.35153865714908167	2.8835013567341364e-16	4.4467710208492865e-14
ENSG00000145685.14	LHFPL2	LHFPL2	10184	LHFPL tetraspan subfamily member 2	1999.7710676481968	1.1855368399609283	0.15387909889013957	3.173910203449078e-16	4.8380649069754825e-14
ENSG00000051108.15	HERPUD1	HERPUD1	9709	homocysteine inducible ER protein with ubiquitin like domain 1	2265.1963154763266	-0.7259583077245433	0.09214935513801954	3.19325729154241e-16	4.8380649069754825e-14
ENSG00000099860.9	GADD45B	GADD45B	4616	growth arrest and DNA damage inducible beta	363.20932574156217	-1.380864419555048	0.1826522383641371	4.143403835632097e-16	6.183473501773749e-14
ENSG00000120690.16	ELF1	ELF1	1997	E74 like ETS transcription factor 1	1416.4104507368882	-0.8949947302667839	0.11454572996600342	4.1528654828957553e-16	6.183473501773749e-14
ENSG00000049246.14	PER3	PER3	8863	period circadian regulator 3	189.3132841549351	2.128319324652182	0.283411071397718	8.330248322819234e-16	1.2297440088182375e-13
ENSG00000157152.17	SYN2	SYN2	6854	synapsin II	50.02103713500676	-3.2193865580981194	0.4257189676243552	8.781291895991551e-16	1.2853429968437803e-13
ENSG00000130066.16	SAT1	SAT1	6303	spermidine/spermine N1-acetyltransferase 1	4077.4439660283883	-1.2579484166644443	0.167137962153057	9.01617162460215e-16	1.308632910085112e-13
ENSG00000100784.12	RPS6KA5	RPS6KA5	9252	ribosomal protein S6 kinase A5	106.00139330098828	2.1257143335808113	0.28459627128967	1.1191741226263351e-15	1.6108646205001718e-13
ENSG00000077254.14	USP33	USP33	23032	ubiquitin specific peptidase 33	2722.4705353030095	-0.8609489860325726	0.11193995481514926	1.1775807247224684e-15	1.680923494000535e-13
ENSG00000170214.5	ADRA1B	ADRA1B	147	adrenoceptor alpha 1B	224.8050729506796	-3.416416955540942	0.45811540249351435	1.3503000761360028e-15	1.9116707307394295e-13
ENSG00000146250.7	PRSS35	PRSS35	167681	serine protease 35	309.9928067031102	2.5785258239573925	0.3411622835273081	1.3746135602132118e-15	1.930270358699398e-13
ENSG00000138316.11	ADAMTS14	ADAMTS14	140766	ADAM metallopeptidase with thrombospondin type 1 motif 14	788.9701281372536	2.2885960019638136	0.3055284641838669	1.4565753884113672e-15	2.0288685571484785e-13
ENSG00000173068.18	BNC2	BNC2	54796	basonuclin zinc finger protein 2	2727.0431479729405	0.8387768815855853	0.1094003534298382	1.4887184590503562e-15	2.0570516179774199e-13
ENSG00000198795.11	ZNF521	ZNF521	25925	zinc finger protein 521	938.8951164986232	0.9512798906719391	0.12523495063038922	1.904409268692586e-15	2.610552134036377e-13
ENSG00000115419.13	GLS	GLS	2744	glutaminase	3856.7399540665383	-1.1334318995762553	0.15136578654640487	2.1202611640124697e-15	2.8835551830569585e-13
ENSG00000127824.14	TUBA4A	TUBA4A	7277	tubulin alpha 4a	221.56809246864276	1.478875733564617	0.20260072221129308	2.16100778741996e-15	2.9160098831498086e-13
ENSG00000231246.2	LINC02884	LINC02884	105378909	long intergenic non-protein coding RNA 2884	58.38959019441576	-2.9268321633538434	0.3913792714052378	2.3891899438545042e-15	3.198921605446124e-13
ENSG00000149218.5	ENDOD1	ENDOD1	23052	endonuclease domain containing 1	2019.9545728416924	-1.8664680133495177	0.259028703007379	4.018301865296434e-15	5.338777678261538e-13
ENSG00000087116.16	ADAMTS2	ADAMTS2	9509	ADAM metallopeptidase with thrombospondin type 1 motif 2	4487.1118747148475	-0.6755497020972612	0.09031360107427032	6.502479315719499e-15	8.573345247412763e-13
ENSG00000013293.6	SLC7A14	SLC7A14	57709	solute carrier family 7 member 14	241.78443709885275	2.64249471588849	0.3602836818664889	7.386415355891015e-15	9.665012577799213e-13
ENSG00000198431.16	TXNRD1	TXNRD1	7296	thioredoxin reductase 1	22576.80185723442	-1.4647963895263794	0.2053015705158155	7.570244389007247e-15	9.831072262175427e-13
ENSG00000157510.14	AFAP1L1	AFAP1L1	134265	actin filament associated protein 1 like 1	500.82798168118427	-1.6131475144165903	0.22752188116072067	7.902638331999792e-15	1.018614696047018e-12
ENSG00000176771.17	NCKAP5	NCKAP5	344148	NCK associated protein 5	107.44727648660529	2.1043075914572773	0.29269471606928205	8.196633329326718e-15	1.0486833397343041e-12
ENSG00000152332.16	UHMK1	UHMK1	127933	U2AF homology motif kinase 1	2965.156671156789	-0.638036175189543	0.0866984037291784	1.443979609825781e-14	1.833854104478742e-12
ENSG00000104756.16	KCTD9	KCTD9	54793	potassium channel tetramerization domain containing 9	1583.9186133426572	-0.8117239434056783	0.11066980058512232	1.92454149804083e-14	2.426327062347534e-12
ENSG00000136999.5	CCN3	CCN3	4856	cellular communication network factor 3	376.61416105194263	2.349111493531946	0.32865384452322927	1.9878608223065858e-14	2.487995081368069e-12
ENSG00000135362.14	PRR5L	PRR5L	79899	proline rich 5 like	110.70900362674341	-1.4400766180489881	0.20550849873177354	2.0490553354305362e-14	2.5461355218385772e-12
ENSG00000100626.17	GALNT16	GALNT16	57452	polypeptide N-acetylgalactosaminyltransferase 16	507.8428959752986	1.0007803480144115	0.13867682386753796	2.7447087055098633e-14	3.3861863401118826e-12
ENSG00000143891.17	GALM	GALM	130589	galactose mutarotase	520.4572843154829	1.0498716355594029	0.1469892395647518	3.898378397753934e-14	4.775375296879854e-12
ENSG00000179820.16	MYADM	MYADM	91663	myeloid associated differentiation marker	3759.5585423104453	-1.3977570746207069	0.20214814093671554	4.5684491931615295e-14	5.556778483400418e-12
ENSG00000136877.15	FPGS	FPGS	2356	folylpolyglutamate synthase	1027.8034141287278	-0.6189267503079907	0.08665593570579004	6.490033264815789e-14	7.838870947545337e-12
ENSG00000042286.15	AIFM2	AIFM2	84883	apoptosis inducing factor mitochondria associated 2	586.1115428335182	-0.6805003251277254	0.09545039223244021	8.543370551102525e-14	1.0247298344350194e-11
ENSG00000182010.11	RTKN2	RTKN2	219790	rhotekin 2	118.227112910474	1.7735875581641893	0.2632125857460805	9.688931293764748e-14	1.1541187676269292e-11
ENSG00000177614.11	PGBD5	PGBD5	79605	piggyBac transposable element derived 5	138.74604915474302	2.3434011453344805	0.33995721317584154	1.1464498498772185e-13	1.3562658771972136e-11
ENSG00000181826.10	RELL1	RELL1	768211	RELT like 1	379.7432813381089	-1.0579008891495982	0.15158453673603023	1.2147712948691131e-13	1.4273149527196818e-11
ENSG00000197301.7	HMGA2-AS1	HMGA2-AS1	100129940	HMGA2 antisense RNA 1	218.57692062540266	-2.2250329007222027	0.3271855218693983	1.6704299020314884e-13	1.949436842424856e-11
ENSG00000183508.5	TENT5C	TENT5C	54855	terminal nucleotidyltransferase 5C	89.568175884965	2.3126282120207793	0.33929056472173447	1.8187946961996792e-13	2.1083370464940173e-11
ENSG00000169744.13	LDB2	LDB2	9079	LIM domain binding 2	606.1591613339203	1.2305698878856575	0.18136682748147	2.2325430563642158e-13	2.559528638016381e-11
ENSG00000185813.10	PCYT2	PCYT2	5833	phosphate cytidylyltransferase 2, ethanolamine	465.2050988657792	-1.0705734372504085	0.15551206334169518	2.244013340629412e-13	2.559528638016381e-11
ENSG00000102804.15	TSC22D1	TSC22D1	8848	TSC22 domain family member 1	4843.991377684924	-1.1266788890744985	0.16448412834609763	2.2524800427193717e-13	2.559528638016381e-11
ENSG00000116001.16	TIA1	TIA1	7072	TIA1 cytotoxic granule associated RNA binding protein	1332.1091847375553	0.4844409120939145	0.07083894901883521	2.6135722263167707e-13	2.950432646597599e-11
ENSG00000003402.20	CFLAR	CFLAR	8837	CASP8 and FADD like apoptosis regulator	2503.843022834224	-1.1166465273401849	0.1639053473142704	3.0385228941692324e-13	3.4078810018240895e-11
